"image_filename","scene_description","colors","category","materials","design_elements"
"sparkling, sequined dress.jpg","Modello femminile con un abito stretto a maniche lunghe riflettente. L'abito presenta una scollatura a V profonda e una cintura di tessuto dello stesso pattern presa in vita. Lo sfondo è uniforme e neutro per mettere in risalto il vestito.","nero, argentato, grigio","abito da sera","seta, paillettes","maniche lunghe, scollo a V, vestibilità aderente, cintura in vita"
"strapless red midi dress with a mermaid silhouette.jpg","Una donna indossa un elegante abito da sera di colore rosso. L'abito è senza spalline con un design aderente che enfatizza la figura. Termina appena sotto il ginocchio con un orlo a sirena.","Rosso","Abito da sera","Probabilmente poliestere o una miscela di tessuti sintetici","Senza spalline, Adattamento su misura, Orlo a sirena, Colore unico"
"strapless, sequined dress that sparkles with multiple colors.jpg","Una donna indossa un abito corto senza spalline, decorato con paillettes multicolore che creano un effetto brillante e cangiante. Lo sfondo è neutro.","argento, blu, viola, verde","Abito da sera","paillettes, tessuto sintetico","senza spalline, minidress, silhouette aderente"
"tight-fitting, off-the-shoulder white dress 2.jpg","Una donna indossa un elegante abito bianco in uno spazioso ambiente interno luminoso con arredamento classico.","Bianco","Abito da sera","Tessuto elasticizzato","Spalle scoperte, Scollatura a cuore, Drappi laterali, Lunghezza al ginocchio"
"tight-fitting, off-the-shoulder white dress.webp","Una modella indossa un abito corto bianco aderente in un ambiente elegante con arredamento classico e luci sfavillanti in sottofondo.","Bianco","Abito da donna","Probabilmente cotone o miscela di cotone con sintetici per elasticità","Scollatura asimmetrica, Abito aderente, Maniche corte"
"vibrant blue and a neutral tone adorned with colorful floral patterns.jpg","La modella indossa un elegante abito da sera in un ambiente esterno luminoso. L'abito combina un corpetto ricamato in blu con una gonna lunga che sfuma dal bianco al blu, abbellita con ricami floreali multicolori.","Bianco, Blu, Marrone, Rosso, Verde","Abito da sera","Seta, Tulle","Ricami floreali, Sfumatura di colore, Orlo asimmetrico, Strati trasparenti"
"white dress adorned with colorful floral patterns.jpg","Una donna è ritratta indossando un abito alla moda in un ambiente di studio con sfondo grigio. L'abito consiste in un vestito bianco al ginocchio con motivi floreali colorati e un cardigan lungo di colore rosa cipria legato in vita con una cintura sottile dello stesso tessuto e colore.","bianco, rosa cipria, giallo, rosso, verde","Abito femminile","cotone, poliestere","vestito al ginocchio, motivo floreale, cardigan lungo, cintura in tessuto"
"white, intricately detailed top and a flowing dark blue skirt.jpg","Donna indossa un abito lungo elegante, evidente in un contesto urbano moderno con sfondo costituito da un ingresso in vetro e pietra.","Blu navy, Bianco","Abito da sera","Satin, Tulle, Perline","Top con corpetto ricamato di perline, Gonna ampia in satin, Scollatura a cuore, Vita accentuata"
"Women-off-the-shoulder-sexy-embroidery-fashion-party-dress-1.png","Una donna elegante posa in un ambiente di interni di lusso, indossando un abito da sera lungo. L'abito ha una parte superiore ornata con pizzo dorato e una gonna ampia di color beige dorato. La modella tiene una piccola borsetta grigia.","dorato, beige dorato, grigio","Abito da sera","pizzo, seta o satin","scollatura a cuore, ricami in pizzo sulla parte superiore, gonna ampia e fluida"
"yellow, intricately designed Anarkali suit.jpeg","Una modella indossa un elegante abito tradizionale indiano in una stanza ben arredata con fiori e arredi d'epoca.","Giallo Oro, Beige","Abbigliamento tradizionale","Seta, Pizzo","Ricami floreali, Trasparenze, Maniche lunghe, Gonna ampia, Dupatta lungo"
